ano,distrito,concelho,energia_ativa_kwh,cpes,kwh_por_cpe,Preco_Final,annual_expenditure,concelho_limpo,income,energy_expenditure_ratio,energy_poverty
2022,Guarda,Pinhel,17808290.0,8276,2151.7991783470275,0.22104739916945426,475.64961190857906,pinhel,15701.118476624668,3.029399546387165,0
2022,Guarda,Sabugal,25558847.0,14809,1725.899588088325,0.22104739916945426,381.5056151745566,sabugal,15866.168115864042,2.4045227076164797,0
2022,Guarda,Seia,42891679.0,18086,2371.5403627114897,0.22104739916945426,524.222829202759,seia,16804.661279474978,3.1195084535446056,0
2022,Guarda,Trancoso,20332497.0,8126,2502.15321191238,0.22104739916945426,553.0944598167279,trancoso,16354.274316711211,3.3819566011043483,0
2022,Guarda,Vila Nova de Foz Côa,16451966.638,6685,2461.0271709798058,0.22104739916945426,544.0036554304459,vila nova de foz coa,15578.437473853119,3.4920296489522955,0
2022,Leiria,Alcobaça,135464897.282,38664,3503.6441465445896,0.22104739916945426,774.4714262089637,alcobaca,17802.70156731234,4.350302808147815,0
2022,Leiria,Alvaiázere,14808318.0,5884,2516.7093813732154,0.22104739916945426,556.3120632179155,alvaiazere,15549.118966935168,3.5777722480669154,0
2022,Leiria,Ansião,22886857.0,8987,2546.6626237899186,0.22104739916945426,562.9331495508198,ansiao,16549.419992693853,3.401527967743525,0
2022,Leiria,Batalha,35721774.3,9709,3679.24341332784,0.22104739916945426,813.2871874274643,batalha,19326.721250944112,4.2080970531291495,0
2022,Leiria,Bombarral,29115372.0,8779,3316.4793256635153,0.22104739916945426,733.0991293371856,bombarral,17417.384299635603,4.209008176690015,0
2022,Leiria,Caldas da Rainha,120189732.296,36740,3271.3590717474144,0.22104739916945426,723.1254145591661,caldas da rainha,18763.3014269286,3.8539348598928087,0
2022,Leiria,Castanheira de Pêra,6212143.0,2633,2359.3402962400305,0.22104739916945426,521.5260362395485,castanheira de pera,15077.50379077457,3.4589680326172636,0
2022,Leiria,Figueiró dos Vinhos,11918411.0,5213,2286.28639938615,0.22104739916945426,505.37766234080465,figueiro dos vinhos,15824.62920235227,3.1936145604326844,0
2022,Leiria,Leiria,301417648.044,81970,3677.170282347201,0.22104739916945426,812.8289272160566,leiria,21261.510862710802,3.8230064291509267,0
2022,Leiria,Marinha Grande,83537356.704,24709,3380.847331093933,0.22104739916945426,747.3275095273048,marinha grande,19780.367669898733,3.7781274948926704,0
2022,Leiria,Nazaré,40926945.0,15167,2698.4205841629855,0.22104739916945426,596.4788519945474,nazare,17088.64468278571,3.490498299115622,0
2022,Leiria,Pedrógão Grande,8041253.0,3810,2110.565091863517,0.22104739916945426,466.5349243342707,pedrogao grande,15198.975977500551,3.0695155056820593,0
2022,Leiria,Peniche,65263899.292,23365,2793.233438561952,0.22104739916945426,617.4369868672711,peniche,17994.482388031807,3.4312572796088348,0
2022,Leiria,Pombal,111737160.536,36930,3025.647455618738,0.22104739916945426,668.8115008681989,pombal,17866.886414751752,3.743301912503324,0
2022,Leiria,Porto de Mós,49130308.534,14275,3441.702874535902,0.22104739916945426,760.7794691301957,porto de mos,18203.247373421025,4.179361261886861,0
2022,Leiria,Óbidos,41789094.888,10355,4035.644122452921,0.22104739916945426,892.0686372417127,obidos,18648.723942918135,4.783537146950349,0
2022,Lisboa,Alenquer,79288442.0,24548,3229.934903047091,0.22104739916945426,713.9687098052029,alenquer,19376.882890929865,3.684641713654599,0
2022,Lisboa,Amadora,258524373.89,98244,2631.4520366638167,0.22104739916945426,581.6756287437,amadora,19626.334826255905,2.9637506640594986,0
2022,Lisboa,Arruda dos Vinhos,28963807.0,7615,3803.52028890348,0.22104739916945426,840.7582675503655,arruda dos vinhos,23544.740391555995,3.5708963172594252,0
2022,Lisboa,Azambuja,43302262.2,12209,3546.749299696945,0.22104739916945426,783.9997082040929,azambuja,18587.327121426653,4.217926026062846,0
2022,Lisboa,Cadaval,30828793.778,9580,3218.036928810021,0.22104739916945426,711.3386935447134,cadaval,17588.670404312565,4.044300547984004,0
2022,Lisboa,Cascais,500659258.75,127212,3935.629176099739,0.22104739916945426,869.9605934722695,cascais,27480.133510614603,3.1657800830415708,0
2022,Lisboa,Lisboa,1597844823.036,391403,4082.3520081246184,0.22104739916945426,902.3932938901457,lisboa,30081.782883720705,2.9997999034109513,0
2022,Lisboa,Loures,355857673.162,109513,3249.4559838740606,0.22104739916945426,718.2837939509812,loures,21482.12539608501,3.343634676305745,0
2022,Lisboa,Lourinhã,62252211.132,18757,3318.878878925201,0.22104739916945426,733.6295443448498,lourinha,18100.69850385047,4.053045489867634,0
